vocabulary_size	Multinomial NaiveBased	Bernoulli NaiveBased
100	16.5889407062	18.0146568954
500	39.8667554963	36.4290473018
1000	54.7368421053	46.2758161226
2500	67.0086608927	54.9766822119
5000	71.9920053298	59.6668887408
7500	73.9107261825	61.345769487
10000	75.0566289141	62.1852098601
12500	75.1365756163	62.7181878748
25000	77.0286475683	62.9846768821
50000	76.9220519654	62.4916722185
All the vocabulary	77.2018654231	62.54497002

Class values	Accuracy for Multinomial	Accuracy for Bernoulli
1	79.5597484277	53.1446540881
2	73.264781491	51.9280205656
3	62.6598465473	 58.8235294118
4	74.7448979592	 54.8469387755
5	83.5509138381	 61.3577023499
6	61.7948717949	 49.2307692308
7	83.5078534031	 90.3141361257
8	89.8734177215	 61.0126582278
9	92.9471032746	 80.604534005
10	93.1989924433	 73.5516372796
11	92.4812030075	 74.686716792
12	82.2784810127	 56.7088607595
13	66.6666666667	 46.8193384224
14	71.2468193384	45.0381679389
15	79.5918367347	 57.6530612245
16	82.4120603015	 70.1005025126
17	86.8131868132	 63.4615384615
18	68.8829787234	61.7021276596
19	50.6451612903	37.4193548387
20	54.1832669323	27.8884462151
		
